# n=8
# target=16
# trajectory_id=535
# R=800
# T=3.0
# seed=1766186853405588596
# α=8.0, β=1.0, γ=4.0
# method=ROCm AMDGPU Line-Based Custom RK4 Kernel (v1)
# col_normalization=mean-incidence
# timestamp=2026-02-15T12:12:26Z
#
# Grid (0/1):
0 0 0 1 0 0 0 1
0 0 1 1 0 0 0 0
1 0 0 0 0 0 1 0
0 0 0 0 0 1 0 1
1 1 0 0 0 0 0 0
0 1 0 0 1 0 0 0
0 0 0 0 0 1 1 0
0 0 1 0 1 0 0 0
#
# Coordinates (row, col):
(1, 4)
(1, 8)
(2, 3)
(2, 4)
(3, 1)
(3, 7)
(4, 6)
(4, 8)
(5, 1)
(5, 2)
(6, 2)
(6, 5)
(7, 6)
(7, 7)
(8, 3)
(8, 5)
