# n=8
# target=16
# trajectory_id=209
# R=1200
# T=6.0
# seed=1766186853405588596
# α=8.0, β=1.0, γ=4.0
# method=ROCm AMDGPU Line-Based Custom RK4 Kernel (v1)
# col_normalization=mean-incidence
# timestamp=2026-02-14T20:44:34Z
#
# Grid (0/1):
0 0 0 1 0 1 0 0
0 1 1 0 0 0 0 0
0 0 0 1 0 0 1 0
0 0 0 0 0 0 1 1
1 0 1 0 0 0 0 0
0 1 0 0 0 0 0 1
0 0 0 0 1 1 0 0
1 0 0 0 1 0 0 0
#
# Coordinates (row, col):
(1, 4)
(1, 6)
(2, 2)
(2, 3)
(3, 4)
(3, 7)
(4, 7)
(4, 8)
(5, 1)
(5, 3)
(6, 2)
(6, 8)
(7, 5)
(7, 6)
(8, 1)
(8, 5)
