# n=9
# target=18
# trajectory_id=1260
# R=5000
# T=10.0
# seed=10884116885711415190
# α=15.0, β=1.0, γ=5.0
# method=Metal GPU Custom RK4 Kernel
# timestamp=2026-02-09T19:42:33Z
#
# Grid (0/1):
0 0 1 0 1 0 0 0 0
0 0 0 0 0 1 0 0 1
0 1 0 0 0 0 0 1 0
1 0 1 0 0 0 0 0 0
0 1 0 0 0 0 0 1 0
0 0 0 1 0 1 0 0 0
0 0 0 0 0 0 1 0 1
1 0 0 1 0 0 0 0 0
0 0 0 0 1 0 1 0 0
#
# Coordinates (row, col):
(1, 3)
(1, 5)
(2, 6)
(2, 9)
(3, 2)
(3, 8)
(4, 1)
(4, 3)
(5, 2)
(5, 8)
(6, 4)
(6, 6)
(7, 7)
(7, 9)
(8, 1)
(8, 4)
(9, 5)
(9, 7)
