# n=9
# target=18
# trajectory_id=76
# R=1000
# T=15.0
# seed=8426956476980923454
# α=20.0, β=1.0, γ=5.0
# method=CPU Tsit5 Line-Based Gradient Flow (v6)
# coeff_mode=normalized
# col_normalization=mean-incidence
# timestamp=2026-02-22T21:08:20Z
#
# Grid (0/1):
0 0 0 1 0 1 0 0 0
0 0 0 0 0 1 1 0 0
1 0 0 0 0 0 0 0 1
0 1 0 1 0 0 0 0 0
1 0 0 0 0 0 0 0 1
0 0 0 0 1 0 1 0 0
0 0 1 0 0 0 0 1 0
0 1 0 0 1 0 0 0 0
0 0 1 0 0 0 0 1 0
#
# Coordinates (row, col):
(1, 4)
(1, 6)
(2, 6)
(2, 7)
(3, 1)
(3, 9)
(4, 2)
(4, 4)
(5, 1)
(5, 9)
(6, 5)
(6, 7)
(7, 3)
(7, 8)
(8, 2)
(8, 5)
(9, 3)
(9, 8)
