# n=10
# target=20
# trajectory_id=43
# R=1024
# T=15.0
# seed=12235819751406269268
# α=16.666666, β=1.0, γ=5.0
# method=Metal GPU Custom RK4 Kernel
# timestamp=2026-02-09T20:07:16Z
#
# Grid (0/1):
0 0 0 0 0 1 1 0 0 0
0 0 1 0 0 0 1 0 0 0
0 1 0 0 0 0 0 0 1 0
0 1 0 0 0 1 0 0 0 0
1 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 0 1 0 1
0 0 1 1 0 0 0 0 0 0
1 0 0 0 1 0 0 0 0 0
0 0 0 1 0 0 0 0 0 1
0 0 0 0 1 0 0 1 0 0
#
# Coordinates (row, col):
(1, 6)
(1, 7)
(2, 3)
(2, 7)
(3, 2)
(3, 9)
(4, 2)
(4, 6)
(5, 1)
(5, 9)
(6, 8)
(6, 10)
(7, 3)
(7, 4)
(8, 1)
(8, 5)
(9, 4)
(9, 10)
(10, 5)
(10, 8)
