# n=10
# target=20
# trajectory_id=2719
# R=5120
# T=15.0
# seed=4272919402685181407
# α=16.666666666666668, β=1.0, γ=5.0
# timestamp=2026-02-09T20:09:16Z
#
# Grid (0/1):
0 0 0 1 0 1 0 0 0 0
0 0 0 0 0 1 0 0 1 0
0 1 0 0 0 0 0 0 0 1
0 0 1 1 0 0 0 0 0 0
1 0 0 0 0 0 0 1 0 0
0 0 1 0 0 0 0 0 0 1
0 0 0 0 0 0 1 1 0 0
1 0 0 0 0 0 0 0 1 0
0 1 0 0 1 0 0 0 0 0
0 0 0 0 1 0 1 0 0 0
#
# Coordinates (row, col):
(1, 4)
(1, 6)
(2, 6)
(2, 9)
(3, 2)
(3, 10)
(4, 3)
(4, 4)
(5, 1)
(5, 8)
(6, 3)
(6, 10)
(7, 7)
(7, 8)
(8, 1)
(8, 9)
(9, 2)
(9, 5)
(10, 5)
(10, 7)
