# n=10
# target=20
# trajectory_id=116
# R=0
# T=10.0
# seed=2987203504646355253
# α=15.594421918424134, β=1.0, γ=4.903262205604372
# method=ROCm AMDGPU Hybrid CPU-GPU with Local Repair (v2)
# col_normalization=mean-incidence
# timestamp=2026-02-13T19:37:28Z
#
# Grid (0/1):
1 0 0 0 0 0 0 0 0 1
0 0 0 1 0 1 0 0 0 0
0 0 0 1 1 0 0 0 0 0
0 0 0 0 0 0 0 1 1 0
0 1 0 0 0 0 0 1 0 0
0 0 1 0 0 0 0 0 1 0
0 1 1 0 0 0 0 0 0 0
0 0 0 0 0 1 1 0 0 0
0 0 0 0 1 0 1 0 0 0
1 0 0 0 0 0 0 0 0 1
#
# Coordinates (row, col):
(1, 1)
(1, 10)
(2, 4)
(2, 6)
(3, 4)
(3, 5)
(4, 8)
(4, 9)
(5, 2)
(5, 8)
(6, 3)
(6, 9)
(7, 2)
(7, 3)
(8, 6)
(8, 7)
(9, 5)
(9, 7)
(10, 1)
(10, 10)
