# n=10
# target=20
# trajectory_id=58
# R=5120
# T=15.0
# seed=1830905494445045477
# α=16.666666, β=1.0, γ=5.0
# method=Metal GPU Custom RK4 Kernel
# timestamp=2026-02-09T20:08:12Z
#
# Grid (0/1):
0 0 1 0 0 1 0 0 0 0
0 0 0 0 0 0 1 0 0 1
1 0 1 0 0 0 0 0 0 0
0 0 0 0 0 1 1 0 0 0
1 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 1
0 1 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 1 1 0
0 0 0 0 1 0 0 1 0 0
0 0 0 1 1 0 0 0 0 0
#
# Coordinates (row, col):
(1, 3)
(1, 6)
(2, 7)
(2, 10)
(3, 1)
(3, 3)
(4, 6)
(4, 7)
(5, 1)
(5, 2)
(6, 9)
(6, 10)
(7, 2)
(7, 4)
(8, 8)
(8, 9)
(9, 5)
(9, 8)
(10, 4)
(10, 5)
