# n=10
# target=20
# trajectory_id=41
# R=0
# T=10.0
# seed=13002463870274996726
# α=17.228499794243465, β=1.0, γ=3.845527107009038
# method=ROCm AMDGPU Hybrid CPU-GPU with Local Repair (v2)
# col_normalization=mean-incidence
# timestamp=2026-02-13T19:36:54Z
#
# Grid (0/1):
0 0 1 0 1 0 0 0 0 0
1 0 0 0 0 0 1 0 0 0
0 0 0 1 0 0 0 0 0 1
0 1 0 0 0 0 0 0 1 0
0 0 0 0 0 1 0 0 1 0
0 1 0 0 0 1 0 0 0 0
0 0 0 1 0 0 0 0 0 1
1 0 0 0 0 0 0 1 0 0
0 0 1 0 1 0 0 0 0 0
0 0 0 0 0 0 1 1 0 0
#
# Coordinates (row, col):
(1, 3)
(1, 5)
(2, 1)
(2, 7)
(3, 4)
(3, 10)
(4, 2)
(4, 9)
(5, 6)
(5, 9)
(6, 2)
(6, 6)
(7, 4)
(7, 10)
(8, 1)
(8, 8)
(9, 3)
(9, 5)
(10, 7)
(10, 8)
